LOT_ID,Model,Machine,CZ_Concentration,Press1_Temp,Press1_Time,Press1_Pressure,Press2_Temp,Press2_Time,Press2_Pressure,Press3_Temp,Press3_Time,Press3_Pressure,Cure_Temp,Cure_Time,Anneal_Time,Anneal_Temp
LOT000054,MODEL_B,PRESS_03,10.289,99.74,29.184,4.963,100.249,58.501,9.779,99.505,30.546,6.905,147.224,57.753,98.662,197.115
LOT000055,MODEL_B,PRESS_01,10.089,100.465,29.838,4.919,99.678,60.309,10.023,99.88,31.446,7.13,147.333,58.053,89.852,199.609
LOT000056,MODEL_A,PRESS_03,9.936,100.235,29.25,5.449,99.65,61.005,9.953,100.186,28.938,6.308,150.629,59.064,92.306,200.512
LOT000057,MODEL_B,PRESS_03,9.889,100.181,29.805,4.79,99.852,57.538,9.437,100.508,29.516,6.795,152.615,55.237,85.097,197.425
LOT000058,MODEL_A,PRESS_03,10.043,99.954,29.775,5.107,102.397,61.684,10.676,99.924,29.895,6.392,151.815,58.021,83.802,200.452
LOT000059,MODEL_C,PRESS_01,9.721,100.787,30.954,4.759,98.683,60.595,10.192,99.113,30.7,6.88,146.931,59.335,87.572,198.543
LOT000060,MODEL_C,PRESS_02,10.117,99.801,29.112,5.84,101.083,59.694,10.06,100.086,30.033,6.829,150.653,65.512,91.805,200.113
LOT000061,MODEL_C,PRESS_02,9.841,98.545,27.383,5.77,100.568,60.21,10.113,100.67,29.873,6.121,151.593,58.712,94.813,204.216
LOT000062,MODEL_C,PRESS_02,10.062,100.569,28.395,4.963,101.54,61.414,10.684,98.667,28.451,7.06,149.175,61.32,89.472,199.471
LOT000063,MODEL_B,PRESS_02,9.913,99.191,28.972,5.173,100.629,64.632,10.379,98.679,28.867,7.206,149.605,59.604,92.934,198.103
LOT000064,MODEL_C,PRESS_02,9.956,98.676,29.344,5.002,100.003,61.22,10.116,99.338,30.193,6.936,150.556,60.88,72.988,199.97
LOT000065,MODEL_B,PRESS_02,9.874,98.978,30.187,4.884,101.02,61.621,9.764,99.808,29.486,6.491,150.813,57.835,91.136,199.683
LOT000066,MODEL_A,PRESS_03,9.973,100.283,28.92,5.04,100.23,60.387,9.816,97.803,29.658,7.422,150.629,56.909,85.865,199.424
LOT000067,MODEL_C,PRESS_02,10.315,99.903,28.789,4.986,100.755,63.803,9.399,100.574,29.938,7.632,151.207,62.755,81.661,200.057
LOT000068,MODEL_B,PRESS_01,10.231,97.867,29.071,4.493,101.428,57.068,9.877,99.817,32.342,7.133,150.359,57.34,93.027,199.692
LOT000069,MODEL_A,PRESS_01,10.059,99.616,28.884,5.088,100.093,56.525,10.221,97.649,29.503,6.882,148.957,62.967,99.648,197.937
LOT000070,MODEL_B,PRESS_03,9.996,101.169,29.446,4.986,99.576,60.306,10.211,98.887,31.387,6.886,149.256,59.258,89.909,201.374
LOT000071,MODEL_C,PRESS_03,10.141,99.549,29.403,5.104,99.356,61.32,10.205,99.699,31.314,7.144,148.701,58.346,95.865,202.189
LOT000072,MODEL_A,PRESS_02,10.188,99.835,30.689,4.974,100.451,54.851,9.828,98.227,30.804,7.03,149.232,58.967,87.215,199.38
LOT000073,MODEL_B,PRESS_01,9.862,101.043,29.01,4.88,99.122,59.993,10.184,100.97,29.153,7.145,150.936,63.204,103.686,200.584
LOT000074,MODEL_A,PRESS_03,9.987,100.795,29.642,5.292,99.65,59.639,10.275,100.187,30.137,7.15,148.712,58.603,79.492,196.591
LOT000075,MODEL_C,PRESS_01,9.696,101.022,29.455,5.178,99.032,61.488,9.258,100.678,29.61,6.754,151.783,59.236,89.328,199.969
LOT000076,MODEL_B,PRESS_02,10.187,97.227,30.809,5.465,100.508,60.857,10.101,98.971,32.014,6.726,148.353,61.95,95.01,203.206
LOT000077,MODEL_A,PRESS_01,10.344,101.734,29.846,5.165,99.248,56.384,10.694,100.411,30.411,6.907,150.339,60.948,89.794,201.333
LOT000078,MODEL_A,PRESS_01,10.013,100.636,31.051,4.934,98.713,57.84,9.903,99.339,29.787,7.156,151.393,64.155,99.176,200.257
LOT000079,MODEL_B,PRESS_03,9.646,102.461,28.848,5.206,98.889,58.386,9.159,99.808,31.785,6.48,150.748,62.331,76.179,199.926
LOT000080,MODEL_C,PRESS_02,10.101,99.218,29.951,4.34,99.429,61.478,9.729,100.353,29.647,6.924,146.921,58.607,89.259,199.502
LOT000081,MODEL_C,PRESS_01,9.849,98.237,29.424,5.701,99.52,60.749,9.395,99.93,30.552,6.988,150.222,62.605,88.338,200.7
LOT000082,MODEL_B,PRESS_02,9.889,100.007,28.774,5.091,100.251,58.759,9.789,100.808,30.702,6.838,148.77,56.156,89.265,201.714
LOT000083,MODEL_A,PRESS_01,10.104,99.725,29.932,5.728,99.838,60.289,9.592,100.139,30.347,7.468,147.796,61.54,79.447,199.164
LOT000084,MODEL_C,PRESS_02,10.042,100.654,31.733,4.71,100.37,57.884,10.31,99.537,29.894,7.411,150.371,58.691,88.058,201.252
LOT000085,MODEL_B,PRESS_02,9.919,101.075,29.147,4.627,100.451,64.099,10.26,100.843,30.838,7.139,147.918,61.191,87.75,198.652
LOT000086,MODEL_C,PRESS_02,9.892,99.913,29.873,5.122,100.74,61.149,10.114,101.054,29.37,7.59,150.408,63.927,91.621,199.271
LOT000087,MODEL_A,PRESS_03,10.021,99.759,28.688,5.121,98.092,61.572,10.409,100.088,31.114,7.293,152.427,56.659,97.322,198.147
LOT000088,MODEL_A,PRESS_01,9.932,100.523,28.541,5.113,98.873,62.754,9.812,101.336,29.719,7.045,150.504,61.846,90.743,200.267
LOT000089,MODEL_C,PRESS_01,9.815,99.744,29.213,5.062,100.555,62.032,10.025,99.765,31.338,6.841,149.612,61.68,92.785,200.139
LOT000090,MODEL_C,PRESS_02,9.945,99.66,29.55,4.791,100.211,60.063,10.731,99.872,31.046,6.868,149.732,61.32,98.383,200.661
LOT000091,MODEL_B,PRESS_03,10.057,101.037,29.594,4.505,100.977,59.63,10.195,100.004,30.549,7.127,151.523,58.04,97.928,200.514
LOT000092,MODEL_C,PRESS_02,9.97,101.26,29.774,5.094,98.456,62.577,10.194,99.87,29.91,6.876,149.491,59.821,74.104,201.205
LOT000093,MODEL_C,PRESS_01,9.764,101.084,28.352,4.572,99.525,60.053,9.744,99.689,31.103,6.494,149.224,58.074,95.316,203.475
LOT000094,MODEL_B,PRESS_03,10.165,99.832,29.374,4.541,99.704,58.502,9.861,99.285,30.571,6.873,148.448,60.86,95.274,201.222
LOT000095,MODEL_C,PRESS_02,9.544,97.86,30.502,4.873,100.167,63.933,9.666,99.006,26.783,7.343,148.51,57.391,88.252,196.711
LOT000096,MODEL_A,PRESS_01,9.926,99.852,28.642,5.144,100.036,58.128,10.56,100.111,29.182,6.142,151.489,59.125,86.943,199.587
LOT000097,MODEL_A,PRESS_02,9.897,99.242,29.645,5.663,100.469,56.531,9.481,101.198,30.169,7.468,149.19,61.26,82.473,199.941
LOT000098,MODEL_C,PRESS_01,10.025,99.87,30.293,5.326,99.885,61.986,10.305,100.814,30.28,7.191,150.925,58.535,77.059,197.359
LOT000099,MODEL_B,PRESS_03,10.094,99.329,29.218,5.478,101.372,58.538,10.194,100.388,30.707,6.922,151.06,59.207,95.665,201.383
LOT000100,MODEL_A,PRESS_01,10.188,99.979,30.342,5.218,101.691,60.87,9.466,101.249,31.549,7.096,148.407,58.187,95.101,202.981
LOT000101,MODEL_C,PRESS_02,9.881,98.961,28.479,5.122,98.882,63.634,10.381,100.019,30.587,7.32,148.675,60.513,89.334,198.556
LOT000102,MODEL_A,PRESS_02,10.098,98.719,30.888,5.835,100.045,57.25,9.914,99.011,27.916,7.011,150.962,59.725,94.732,202.105
LOT000103,MODEL_C,PRESS_01,10.033,101.223,30.366,4.559,100.798,59.918,9.56,99.651,30.198,7.316,150.234,58.535,96.824,201.789
LOT000104,MODEL_A,PRESS_02,9.715,99.03,30.056,4.862,100.585,62.967,10.121,99.939,31.216,7.284,149.702,58.739,78.028,200.457
LOT000105,MODEL_C,PRESS_01,10.317,100.0,31.125,4.888,99.592,61.364,9.726,99.488,30.112,7.058,150.77,60.316,91.662,201.384
LOT000106,MODEL_C,PRESS_02,9.76,100.955,29.671,5.298,100.255,59.64,9.932,100.61,30.203,6.63,151.687,57.884,88.382,198.726
LOT000107,MODEL_C,PRESS_03,10.07,100.914,29.382,4.674,98.417,64.779,9.831,100.936,29.506,6.967,149.935,59.911,92.882,201.918
LOT000108,MODEL_B,PRESS_03,10.065,100.795,31.373,5.254,99.981,59.809,9.707,98.268,30.949,6.32,149.052,60.066,91.242,202.11
LOT000109,MODEL_B,PRESS_01,10.046,100.303,31.841,5.193,98.54,60.794,9.604,99.855,29.647,7.149,150.195,60.312,95.133,200.795
LOT000110,MODEL_C,PRESS_01,9.918,100.724,29.307,5.271,100.508,63.299,10.266,97.097,30.593,6.86,148.659,58.939,79.448,200.509
LOT000111,MODEL_A,PRESS_02,10.138,101.373,29.886,5.265,98.884,61.962,10.108,99.908,30.429,6.795,150.238,61.21,98.76,198.678
LOT000112,MODEL_C,PRESS_03,9.74,100.425,31.045,5.513,100.163,62.643,10.087,99.897,30.054,7.219,150.003,61.923,86.509,201.577
LOT000113,MODEL_B,PRESS_03,9.989,98.163,29.922,4.984,100.319,58.201,9.879,101.776,30.484,6.577,148.64,61.295,89.105,200.024
LOT000114,MODEL_B,PRESS_01,9.906,99.471,30.595,5.177,100.076,62.456,10.017,101.476,30.202,7.037,149.325,60.42,78.27,199.773
LOT000115,MODEL_B,PRESS_01,9.887,100.696,30.78,4.754,99.368,60.339,9.755,100.932,31.277,6.887,149.46,57.147,89.31,201.574
LOT000116,MODEL_B,PRESS_01,10.071,99.373,29.438,4.678,99.79,58.508,9.749,99.04,30.677,6.94,151.222,63.351,89.879,199.519
LOT000117,MODEL_A,PRESS_01,10.18,101.62,30.419,5.588,101.181,60.444,10.57,98.982,31.04,7.095,148.541,60.117,89.468,198.824
LOT000118,MODEL_A,PRESS_02,9.943,99.937,29.994,4.729,99.575,60.38,10.295,98.904,29.236,7.608,148.651,60.624,85.094,201.813
LOT000119,MODEL_A,PRESS_03,10.13,100.085,28.783,5.214,100.021,63.736,9.813,101.527,29.173,7.133,149.377,58.59,81.869,197.484
LOT000120,MODEL_A,PRESS_01,10.008,101.125,29.01,5.177,99.443,60.763,9.501,99.09,30.063,7.453,150.94,59.57,94.275,201.213
LOT000121,MODEL_B,PRESS_03,9.851,99.817,29.348,5.392,101.02,58.438,9.433,99.614,30.749,7.465,151.212,62.359,78.419,197.948
LOT000122,MODEL_C,PRESS_02,9.957,100.176,30.929,4.447,100.078,57.977,9.789,99.1,30.531,7.257,150.436,61.565,95.364,196.983
LOT000123,MODEL_B,PRESS_02,9.95,100.899,30.961,5.297,99.236,59.905,10.036,98.742,29.249,6.385,151.191,59.377,101.297,201.095
LOT000124,MODEL_B,PRESS_03,9.884,98.528,30.75,4.981,100.007,57.307,10.039,100.333,30.781,6.92,151.937,63.055,104.779,200.541
LOT000125,MODEL_C,PRESS_01,10.071,99.715,30.44,4.8,99.759,58.569,10.049,100.153,29.372,6.636,150.263,57.981,82.776,198.947
LOT000126,MODEL_B,PRESS_03,10.039,100.829,30.413,4.916,101.393,59.512,10.111,97.775,30.674,7.955,148.664,56.638,93.939,198.074
LOT000127,MODEL_A,PRESS_01,9.735,100.066,30.278,5.346,99.955,59.156,9.654,98.698,30.287,6.665,149.871,56.142,86.25,200.564
LOT000128,MODEL_C,PRESS_02,9.725,101.467,30.408,5.244,98.617,61.454,10.503,100.255,29.775,6.501,147.731,61.59,98.163,199.22
LOT000129,MODEL_B,PRESS_03,10.071,98.424,30.475,4.957,100.499,58.524,9.934,99.928,29.464,6.077,150.658,58.608,92.62,201.318
LOT000130,MODEL_B,PRESS_02,9.864,98.31,28.596,4.62,101.786,55.06,10.098,99.599,30.133,6.655,149.181,59.719,88.052,199.04
LOT000131,MODEL_B,PRESS_01,10.05,100.77,29.21,4.644,101.197,56.628,9.781,100.606,30.083,7.041,150.187,62.189,83.931,199.291
LOT000132,MODEL_B,PRESS_02,10.13,100.866,28.971,5.251,98.897,59.964,10.104,98.557,28.953,7.362,149.858,60.657,87.536,201.848
LOT000133,MODEL_A,PRESS_02,9.788,99.807,31.107,4.574,99.731,58.826,10.692,99.405,30.602,6.643,149.362,57.628,85.504,198.287
LOT000134,MODEL_B,PRESS_01,9.765,100.4,31.654,4.961,99.969,57.527,9.67,100.518,31.157,7.39,150.376,63.248,89.838,197.574
LOT000135,MODEL_C,PRESS_03,10.279,100.745,27.831,5.894,99.981,63.917,9.628,99.351,30.861,6.979,149.792,59.418,90.181,198.442
LOT000136,MODEL_A,PRESS_01,10.059,99.186,31.565,5.153,100.381,61.658,9.712,100.313,30.315,6.838,148.949,59.874,86.303,200.403
LOT000137,MODEL_B,PRESS_02,9.93,99.293,30.087,5.247,99.656,59.883,9.889,98.854,29.55,7.058,148.17,58.574,85.706,203.186
LOT000138,MODEL_A,PRESS_02,9.844,100.19,31.013,4.646,99.084,60.467,9.826,99.176,30.129,7.473,150.593,57.769,94.183,200.254
LOT000139,MODEL_B,PRESS_01,9.915,100.904,30.506,4.591,100.952,59.47,9.653,98.218,29.869,7.017,147.989,60.461,94.67,198.547
LOT000140,MODEL_B,PRESS_03,9.802,98.834,31.44,5.265,98.876,57.492,9.983,97.943,30.124,6.631,152.991,57.117,84.582,198.618
LOT000141,MODEL_C,PRESS_02,10.147,99.802,30.21,4.906,99.198,62.061,10.52,99.524,30.936,7.141,152.145,59.834,89.636,200.684
LOT000142,MODEL_A,PRESS_01,9.871,99.756,28.637,5.391,98.87,61.703,9.95,100.45,29.892,7.136,147.35,63.171,84.239,197.111
LOT000143,MODEL_A,PRESS_02,10.182,100.418,29.894,5.048,100.612,56.045,9.968,99.885,28.163,6.937,151.046,61.503,107.386,196.864
LOT000144,MODEL_B,PRESS_02,9.933,99.991,30.516,6.185,100.106,60.453,10.114,101.16,30.8,7.341,151.897,60.406,83.729,200.327
LOT000145,MODEL_C,PRESS_02,9.826,99.454,29.784,4.843,100.884,60.674,10.216,99.607,30.397,6.237,149.023,57.803,91.689,201.475
LOT000146,MODEL_C,PRESS_03,9.929,101.249,30.658,5.13,99.215,59.357,10.458,97.88,30.15,7.119,150.585,59.879,92.967,201.516
LOT000147,MODEL_A,PRESS_02,9.563,99.461,29.934,4.735,98.747,64.195,10.08,100.344,28.826,7.261,149.791,58.408,85.564,200.577
LOT000148,MODEL_A,PRESS_03,9.98,99.708,29.404,5.377,99.556,63.977,9.999,98.921,29.168,6.517,151.136,62.884,84.264,201.995
LOT000149,MODEL_C,PRESS_02,9.972,98.409,28.914,5.18,99.818,59.245,9.669,100.126,29.285,6.506,149.256,59.052,88.137,199.685
LOT000150,MODEL_A,PRESS_02,10.137,99.286,29.608,4.713,100.209,59.554,10.247,97.715,29.416,7.333,151.69,58.428,84.233,199.369
LOT000151,MODEL_C,PRESS_01,9.686,100.516,30.205,4.928,98.318,59.319,9.718,99.725,29.51,7.391,149.761,59.565,91.256,199.914
LOT000152,MODEL_A,PRESS_02,10.194,100.321,28.041,5.491,100.479,58.777,9.708,100.703,28.818,7.453,149.472,58.437,84.335,200.492
LOT000153,MODEL_C,PRESS_01,10.137,100.6,29.22,5.451,99.106,58.158,10.064,100.58,32.152,6.769,151.081,60.471,90.977,206.485
LOT000154,MODEL_A,PRESS_03,10.209,100.551,28.003,4.562,99.353,61.014,10.514,99.749,31.502,7.067,151.501,63.643,76.237,199.672
LOT000155,MODEL_B,PRESS_03,9.991,102.088,29.383,4.878,101.174,63.923,10.242,99.949,30.277,7.111,146.106,60.014,84.62,200.299
LOT000156,MODEL_B,PRESS_03,10.169,99.252,31.197,5.64,97.817,63.1,9.987,99.503,29.966,6.431,145.16,58.154,87.2,202.896
LOT000157,MODEL_A,PRESS_03,9.755,98.381,28.814,4.978,100.323,61.578,9.673,99.702,31.827,7.052,150.569,59.684,96.671,200.924
LOT000158,MODEL_B,PRESS_01,10.119,98.949,30.703,5.094,100.319,55.186,10.507,100.627,31.624,7.046,148.897,57.458,77.682,197.201
LOT000159,MODEL_B,PRESS_01,9.871,99.296,32.849,5.376,99.181,56.271,9.981,99.25,29.26,7.248,147.798,65.747,96.769,202.865
LOT000160,MODEL_C,PRESS_03,9.725,99.026,31.454,4.589,99.553,62.128,9.903,99.348,30.248,6.809,149.377,63.602,94.398,200.54
LOT000161,MODEL_C,PRESS_02,9.813,100.094,30.134,4.72,101.221,63.239,10.185,98.42,29.818,7.417,154.852,62.494,78.096,195.27
LOT000162,MODEL_B,PRESS_01,10.001,101.253,30.858,4.925,101.963,61.107,9.851,100.647,29.731,7.027,147.783,61.503,93.587,199.322
LOT000163,MODEL_B,PRESS_01,9.863,101.54,28.63,5.435,101.065,59.389,9.749,99.68,29.835,7.57,151.476,59.669,83.8,198.799
LOT000164,MODEL_B,PRESS_03,10.063,100.504,28.427,5.373,101.886,62.705,9.781,98.737,29.914,7.249,148.731,59.713,93.808,199.209
LOT000165,MODEL_B,PRESS_02,9.699,102.141,30.029,5.273,99.309,61.507,9.78,100.822,30.211,7.093,147.58,59.559,94.204,199.941
LOT000166,MODEL_C,PRESS_01,9.645,99.644,30.399,4.987,98.42,62.275,9.624,99.899,30.216,6.606,148.98,64.754,95.288,201.204
LOT000167,MODEL_A,PRESS_03,10.229,98.367,31.094,5.41,99.947,56.287,9.587,99.203,31.438,6.56,147.631,59.616,86.19,202.112
LOT000168,MODEL_A,PRESS_01,10.151,101.053,29.431,4.982,100.805,60.687,10.324,100.838,29.193,7.534,147.387,58.872,94.547,202.173
LOT000169,MODEL_B,PRESS_02,9.825,98.161,30.193,5.226,98.145,63.549,10.223,99.604,30.967,7.293,148.792,59.791,100.266,202.671
LOT000170,MODEL_A,PRESS_01,10.0,99.245,30.159,5.337,99.074,61.055,9.726,98.376,28.925,6.905,148.183,61.034,88.058,199.667
LOT000171,MODEL_A,PRESS_02,10.17,100.52,29.869,5.599,99.185,61.896,10.296,100.904,30.237,6.861,149.757,53.035,88.905,196.518
LOT000172,MODEL_A,PRESS_02,10.07,99.898,29.928,5.015,100.357,60.073,10.103,99.105,31.043,7.074,150.281,60.787,94.736,195.829
LOT000173,MODEL_C,PRESS_03,10.025,99.809,29.145,4.912,100.228,60.212,9.892,102.966,30.569,6.552,148.685,54.915,71.022,201.29
LOT000174,MODEL_C,PRESS_02,10.183,98.819,30.28,5.465,99.225,62.805,9.591,99.5,29.684,6.844,151.049,62.944,83.456,199.9
LOT000175,MODEL_C,PRESS_01,9.878,99.989,30.195,5.491,100.18,58.66,10.114,97.93,30.285,7.204,148.893,56.552,96.714,202.496
LOT000176,MODEL_B,PRESS_01,10.005,101.004,29.56,4.852,98.855,58.465,10.622,101.7,31.652,7.249,149.744,58.394,91.025,200.773
LOT000177,MODEL_C,PRESS_01,9.997,100.02,30.666,4.665,99.574,59.044,10.005,99.889,29.408,6.877,146.385,56.166,88.563,197.076
LOT000178,MODEL_A,PRESS_02,9.955,99.17,31.028,5.44,98.735,60.047,10.333,100.201,30.567,7.533,150.137,63.602,83.723,198.993
LOT000179,MODEL_C,PRESS_01,9.935,98.752,30.677,4.486,99.85,56.78,9.929,100.327,30.965,7.348,153.753,59.975,90.177,200.713
LOT000180,MODEL_B,PRESS_02,10.012,99.19,28.958,4.469,99.2,61.462,10.307,98.585,29.612,6.744,151.325,64.453,86.461,198.144
